ufcstats_id,fighter_name,date_of_birth,espn_id,sherdog_id
c21a036b4e012f1c,John Makdessi,5/3/1985,,
e9ac7bfb65c25497,John Phillips,6/9/1985,,
f6bcbd91b114ff58,Johnny Munoz,2/16/1993,,
c21f26bbde777573,Johnny Walker,3/30/1992,,
07f72a2a7591b409,Jon Jones,7/19/1987,,
f2477cf43c4975cc,Jonathan Martinez,4/20/1994,,
87c0b1c696ddfb43,Jonathan Pearce,5/1/1992,,
215a70f073a7b726,Jordan Espinosa,11/8/1989,,
ebef46976554f975,Jordan Griffin,2/28/1990,,
ac026518a9b4dc0f,Jordan Leavitt,6/2/1995,,
c07efc18b231f170,Jordan Rinaldi,9/25/1987,,
e26bd53b751d61d9,Jordan Williams,10/13/1990,,
c878270af633eb11,Jordan Wright,10/7/1991,,
47b9e0e7703a4868,Jorge Masvidal,11/12/1984,,
d0f3959b4a9747e6,Jose Aldo,9/9/1986,,
36549928f90f1d36,Jose Quinonez,7/28/1990,,
80eacd4da0617c57,Joseph Benavidez,7/31/1984,,
6751eacd16bd59bc,Josh Culibao,5/24/1994,,
fba03cd6cc28dc41,Josh Emmett,3/4/1985,,
b5da8f7d05e85a55,Josh Parisian,6/28/1989,,
78f485f851891d68,Journey Newson,3/7/1989,,
83b00f7597e5ac83,Juan Adams,1/16/1992,,
ccf5dc41417e9daf,Juan Espino,10/9/1980,,
86d9dbe1bfcbade7,Julia Avila,5/11/1988,,
902ec2cc48c8ae8a,Julian Erosa,7/31/1989,,
3253b16d38ae087d,Julianna Pena,8/19/1989,,
a78a87d8c2bbb1cb,Julija Stoliarenko,4/8/1993,,
1291edf2d566a71a,Julio Arce,10/27/1989,,
c482c8605455a213,Junior Albini,3/15/1991,,
63def5a5662a6917,Junior Dos Santos,1/30/1984,,
285ae0b4a68221f4,Junyong Park,2/27/1991,,
b102c26727306ab6,Jussier Formiga,4/14/1985,,
9e8f6c728eb01124,Justin Gaethje,11/14/1988,,
304a21d0595e1a08,Justin Jaynes,8/10/1989,,
ba1e6cb3d43f7430,Justin Ledet,9/28/1988,,
e13abac8089a801a,Justin Tafa,12/13/1993,,
ce1e867808ef5fce,Justin Willis,7/19/1987,,
928ae2e5b5f7a9ec,Justine Kish,4/13/1988,,
eee0ef3e2b14816b,Kai Kamaka,1/5/1995,,
853eb0dd5c0e2149,Kai Kara-France,3/26/1993,,
f1b2aa7853d1ed6e,Kamaru Usman,5/11/1987,,
e0b0cf71e0d69dd0,Kanako Murata,8/10/1993,,
37d5b176d438d2a5,Karl Roberson,10/4/1990,,
351c4ec637380ad5,Karol Rosa,12/30/1994,,
d7c3816669784109,Karolina Kowalkiewicz,10/15/1985,,
e872e9a9a902c045,Katlyn Chookagian,12/28/1988,,
4100c7a09497ad41,Kay Hansen,8/14/1999,,
ec18eb918121787c,Kazula Vargas,8/15/1985,,
9cd047a828dd7515,KB Bhullar,10/12/1991,,
65ddc8a9ac4e8531,Keita Nakamura,5/22/1984,,
8c0580d4fff106c1,Kelvin Gastelum,10/24/1991,,
8667caa0451d245b,Kennedy Nzechukwu,6/13/1992,,
b9706f80d005036c,Ketlen Vieira,8/26/1991,,
cf946e03ba2e7666,Kevin Aguilar,9/7/1988,,
35b3772629e27a49,Kevin Croom,7/15/1987,,
3a46b268013afede,Kevin Holland,11/5/1992,,
ee9ebceabfd16fa7,Kevin Lee,9/4/1992,,
0c258d1d8e16e5f1,Kevin Natividad,4/2/1993,,
032cc3922d871c7f,Khabib Nurmagomedov,9/20/1988,,
c3218c810959d279,Khadis Ibragimov,5/21/1995,,
b4537562f88ac582,Khalid Taha,2/15/1992,,
749f572d1d3161fb,Khalil Rountree Jr.,2/26/1990,,
78e501478a36a018,Khama Worthy,10/15/1986,,
767755fd74662dbf,Khamzat Chimaev,5/1/1994,,
2558ae2e5671e318,Khaos Williams,3/30/1994,,
7279654c7674cd24,Klidson Abreu,12/24/1992,,
242d36d241b43c12,Kron Gracie,7/11/1988,,
4e06913c91da5200,Krzysztof Jotko,8/19/1989,,
a7151778b3381036,Kurt Holobaugh,9/8/1986,,
c5af5750e8bae4f0,Kyle Bochniak,2/5/1987,,
d6c0cdd7e467c440,Kyle Daukaus,2/27/1993,,
31f8081c7600da93,Kyle Nelson,4/20/1991,,
873626e5547b5235,Kyle Prepolec,8/30/1989,,
bb61823f76361297,Kyle Stewart,1/31/1989,,
60425d07ef4b91a7,Kyler Phillips,6/12/1995,,
a7897d200692ab64,Kyung Ho Kang,9/9/1987,,
f9b200db02b488d9,Lando Vannata,3/14/1992,,
e99821959a840bb8,Lara Procopio,11/14/1995,,
a12a8314adc1c1c9,Laureano Staropoli,2/27/1993,,
f923e012414c883e,Lauren Mueller,11/15/1991,,
729d4bd5a6cd0a97,Lauren Murphy,7/27/1983,,
f1fac969a1d70b08,Leon Edwards,8/25/1991,,
9c65736747ca92ec,Leonardo Santos,2/5/1980,,
396fe87b84ac2e1c,Lerone Murphy,7/22/1991,,
e64b96c07d7ce999,Li Jingliang,3/20/1988,,26381
eebc23626e38f5dc,Liana Jojua,3/22/1995,,
f300763147320d12,Liliya Shakirova,10/24/1991,,
2eeaefbfc7f9fcff,Lina Lansberg,3/13/1982,,
dab8cfbb6b1db10a,Livinha Souza,3/11/1991,,
